[2026-07-21T14:05:59.668Z] [debug] [vite] connecting...
[2026-07-21T14:05:59.672Z] [error] THREE.WebGLRenderer: Error creating WebGL context.
[2026-07-21T14:05:59.685Z] [debug] [vite] connected.
[2026-07-21T14:08:27.735Z] [debug] [vite] connecting...
[2026-07-21T14:08:27.861Z] [debug] [vite] connected.
[2026-07-21T14:08:28.499Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:09:53.219Z] [debug] [vite] hot updated: /src/components/WhoWeAre.jsx
[2026-07-21T14:09:53.220Z] [debug] [vite] hot updated: /src/index.css
[2026-07-21T14:10:03.883Z] [debug] [vite] connecting...
[2026-07-21T14:10:03.896Z] [debug] [vite] connected.
[2026-07-21T14:10:03.919Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:10:23.807Z] [debug] [vite] connecting...
[2026-07-21T14:10:23.816Z] [debug] [vite] connected.
[2026-07-21T14:10:23.839Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-07-21T14:10:47.890Z] [error] WebSocket connection to 'ws://localhost:5210/?token=QqXgwI-ETWuh' failed: 
[2026-07-21T14:10:47.890Z] [log] [vite] server connection lost. Polling for restart...
[2026-07-21T14:21:07.384Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:12.366Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:14.382Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:17.588Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:19.609Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:24.632Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:29.466Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:32.312Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:37.958Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:43.502Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:47.220Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:50.390Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:21:55.422Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:01.330Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:05.412Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:10.735Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:13.273Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:18.447Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:22.155Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:26.104Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:30.254Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:33.481Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:37.176Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:40.190Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:43.843Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:46.756Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:49.045Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:52.291Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:54.773Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:22:57.913Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:02.925Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:05.666Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:10.322Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:16.104Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:21.102Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:24.874Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:27.476Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:31.883Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:35.354Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:39.776Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:45.165Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:48.237Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:53.626Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:55.876Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:23:58.926Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:04.922Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:07.606Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:11.300Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:14.420Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:17.251Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:19.499Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:24.495Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:29.421Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:34.332Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:39.670Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:42.921Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:47.209Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:52.063Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:24:56.362Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:01.783Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:06.940Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:12.764Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:15.766Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:19.682Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:22.147Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:24.782Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:29.965Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:35.818Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:39.261Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:41.476Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:46.510Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:50.544Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:25:54.856Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:00.111Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:04.041Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:08.483Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:11.340Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:16.018Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:19.785Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:24.091Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:27.455Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:30.159Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:35.134Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:39.668Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:45.548Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:50.176Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:26:54.785Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:00.708Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:03.098Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:06.617Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:08.716Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:12.836Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:16.698Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:22.212Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:25.310Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:28.085Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:33.725Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:37.842Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:42.532Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:45.142Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:48.699Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:54.143Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:56.576Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:57.579Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:58.581Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:27:59.583Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:00.584Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:01.587Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:02.593Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:03.604Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:04.612Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:05.642Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:06.671Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:07.804Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:09.044Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:10.541Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:12.149Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:14.169Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:17.887Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:22.167Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:25.603Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:30.389Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:34.899Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:39.104Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:44.585Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:48.237Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:51.259Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:55.738Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:28:59.120Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:01.360Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:03.711Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:06.299Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:10.342Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:13.952Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:16.454Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:20.473Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:25.384Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:28.997Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:33.168Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:37.875Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:43.379Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:45.658Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:48.689Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:51.254Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:56.624Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:57.631Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:58.632Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:29:59.633Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:00.636Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:01.641Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:02.648Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:03.668Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:04.677Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:05.705Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:06.770Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:07.865Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:08.980Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:10.584Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:12.261Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:14.215Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:17.112Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:20.506Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:24.909Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:29.341Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:32.744Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:37.841Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:43.135Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:45.690Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:51.034Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:53.701Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:30:58.752Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:02.244Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:04.356Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:07.261Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:12.561Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:17.509Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:20.851Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:22.950Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:27.123Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:29.568Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:35.380Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-07-21T14:31:39.588Z] [error] WebSocket connection to 'ws://localhost:5210/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
